,WeekDay,Origin Movement ID,Destination Movement ID,AM Mean Travel Time (Seconds),combined,Distance
98,5,3603,3792,434.6923076923077,"3603, 3792",1.8
99,5,3692,3394,669.2173913043479,"3692, 3394",2.4
100,5,3692,3396,1069.2,"3692, 3396",4.2
101,5,3692,3792,368.12,"3692, 3792",1.4
102,5,3760,3394,739.0555555555555,"3760, 3394",2.5
103,5,3760,3396,1476.0,"3760, 3396",4.1
104,5,3760,3792,,"3760, 3792",1.1
105,5,3792,3603,411.8333333333333,"3792, 3603",1.7
106,5,3792,3692,425.92,"3792, 3692",1.0
107,5,3792,3760,,"3792, 3760",1.6
108,6,3394,3603,808.0,"3394, 3603",1.5
109,6,3394,3692,748.8823529411765,"3394, 3692",1.9
110,6,3394,3760,991.5,"3394, 3760",1.9
111,6,3396,3603,,"3396, 3603",3.2
112,6,3396,3692,1097.0,"3396, 3692",3.5
113,6,3396,3760,,"3396, 3760",3.5
114,6,3603,3394,600.0,"3603, 3394",1.5
115,6,3603,3396,,"3603, 3396",3.2
116,6,3603,3792,471.3181818181818,"3603, 3792",1.8
117,6,3692,3394,631.8095238095239,"3692, 3394",2.4
118,6,3692,3396,1151.0,"3692, 3396",4.2
119,6,3692,3792,473.65,"3692, 3792",1.4
120,6,3760,3394,742.2380952380952,"3760, 3394",2.5
121,6,3760,3396,,"3760, 3396",4.1
122,6,3760,3792,1052.8,"3760, 3792",1.1
123,6,3792,3603,379.3125,"3792, 3603",1.7
124,6,3792,3692,395.72222222222223,"3792, 3692",1.0
125,6,3792,3760,,"3792, 3760",1.6
