Date,Origin Movement ID,Destination Movement ID,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
2019-03-27,3692,3792,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA","Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",553.0,322.0,950.0,1311.0,814.0,2111.0,573.0,405.0,812.0,541.0,367.0,798.0,435.0,270.0,700.0,399.0,257.0,621.0
2019-03-27,3760,3394,"Powell BART Station, Market St and Powell St, San Francisco, CA","Fisherman's Wharf, San Francisco, CA",932.0,697.0,1246.0,,,,1028.0,799.0,1323.0,864.0,664.0,1126.0,967.0,678.0,1380.0,,,
2019-03-27,3760,3396,"Powell BART Station, Market St and Powell St, San Francisco, CA","The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1232.0,981.0,1547.0,,,,,,,,,,,,,,,
2019-03-27,3760,3792,"Powell BART Station, Market St and Powell St, San Francisco, CA","Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",967.0,601.0,1555.0,1318.0,638.0,2719.0,,,,,,,802.0,593.0,1083.0,,,
2019-03-27,3792,3603,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA","Embarcadero, San Francisco, CA",567.0,377.0,853.0,884.0,617.0,1268.0,507.0,376.0,684.0,528.0,391.0,712.0,446.0,300.0,663.0,336.0,282.0,401.0
2019-03-27,3792,3692,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA","2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",638.0,344.0,1180.0,1270.0,842.0,1917.0,538.0,372.0,780.0,455.0,313.0,661.0,509.0,304.0,852.0,328.0,195.0,554.0
2019-03-27,3792,3760,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA","Powell BART Station, Market St and Powell St, San Francisco, CA",812.0,568.0,1161.0,,,,735.0,548.0,987.0,,,,,,,,,
2019-03-28,3394,3603,"Fisherman's Wharf, San Francisco, CA","Embarcadero, San Francisco, CA",734.0,557.0,967.0,819.0,618.0,1087.0,823.0,632.0,1071.0,711.0,574.0,880.0,629.0,484.0,818.0,,,
2019-03-28,3394,3692,"Fisherman's Wharf, San Francisco, CA","2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1041.0,797.0,1359.0,1027.0,785.0,1342.0,1186.0,981.0,1434.0,1083.0,869.0,1350.0,946.0,756.0,1183.0,728.0,569.0,930.0
2019-03-28,3394,3760,"Fisherman's Wharf, San Francisco, CA","Powell BART Station, Market St and Powell St, San Francisco, CA",980.0,782.0,1228.0,1180.0,1002.0,1390.0,1091.0,863.0,1378.0,958.0,819.0,1121.0,862.0,682.0,1089.0,,,
2019-03-28,3396,3603,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA","Embarcadero, San Francisco, CA",1282.0,1003.0,1639.0,1410.0,1180.0,1685.0,,,,1232.0,1039.0,1461.0,1263.0,937.0,1702.0,,,
2019-03-28,3396,3692,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA","2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1579.0,1292.0,1931.0,1605.0,1273.0,2024.0,1669.0,1445.0,1927.0,1540.0,1341.0,1768.0,1503.0,1177.0,1919.0,,,
2019-03-28,3396,3760,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA","Powell BART Station, Market St and Powell St, San Francisco, CA",1345.0,1101.0,1644.0,,,,,,,1310.0,1158.0,1482.0,,,,,,
2019-03-28,3603,3394,"Embarcadero, San Francisco, CA","Fisherman's Wharf, San Francisco, CA",682.0,498.0,934.0,752.0,505.0,1119.0,749.0,606.0,924.0,624.0,486.0,801.0,704.0,495.0,1002.0,,,
2019-03-28,3603,3396,"Embarcadero, San Francisco, CA","The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1130.0,867.0,1472.0,,,,1292.0,1102.0,1515.0,1134.0,956.0,1345.0,964.0,712.0,1305.0,,,
2019-03-28,3603,3792,"Embarcadero, San Francisco, CA","Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",583.0,425.0,800.0,563.0,445.0,711.0,776.0,591.0,1018.0,607.0,466.0,791.0,504.0,372.0,685.0,476.0,327.0,693.0
2019-03-28,3692,3394,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA","Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",827.0,574.0,1190.0,,,,945.0,700.0,1274.0,834.0,605.0,1151.0,770.0,523.0,1133.0,,,
2019-03-28,3692,3396,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA","The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1272.0,996.0,1625.0,,,,1518.0,1126.0,2046.0,1323.0,1100.0,1591.0,1051.0,881.0,1252.0,,,
