,WeekDay,Origin Movement ID,Destination Movement ID,Evening Mean Travel Time (Seconds),combined,Distance
64,3,3692,3396,1178.409090909091,"3692, 3396",4.2
65,3,3692,3792,464.84615384615387,"3692, 3792",1.4
66,3,3760,3394,878.28,"3760, 3394",2.5
67,3,3760,3396,1337.0,"3760, 3396",4.1
68,3,3760,3792,733.7058823529412,"3760, 3792",1.1
69,3,3792,3603,480.96153846153845,"3792, 3603",1.7
70,3,3792,3692,514.3076923076923,"3792, 3692",1.0
71,3,3792,3760,743.35,"3792, 3760",1.6
72,4,3394,3603,665.6923076923077,"3394, 3603",1.5
73,4,3394,3692,884.0,"3394, 3692",1.9
74,4,3394,3760,989.9230769230769,"3394, 3760",1.9
75,4,3396,3603,1196.5,"3396, 3603",3.2
76,4,3396,3692,1406.0,"3396, 3692",3.5
77,4,3396,3760,1362.0,"3396, 3760",3.5
78,4,3603,3394,603.7692307692307,"3603, 3394",1.5
79,4,3603,3396,1039.0,"3603, 3396",3.2
80,4,3603,3792,500.7692307692308,"3603, 3792",1.8
81,4,3692,3394,753.7692307692307,"3692, 3394",2.4
82,4,3692,3396,1230.625,"3692, 3396",4.2
83,4,3692,3792,427.15384615384613,"3692, 3792",1.4
84,4,3760,3394,875.0769230769231,"3760, 3394",2.5
85,4,3760,3396,,"3760, 3396",4.1
86,4,3760,3792,718.6315789473684,"3760, 3792",1.1
87,4,3792,3603,446.15384615384613,"3792, 3603",1.7
88,4,3792,3692,515.9230769230769,"3792, 3692",1.0
89,4,3792,3760,771.2142857142857,"3792, 3760",1.6
90,5,3394,3603,720.8846153846154,"3394, 3603",1.5
91,5,3394,3692,941.8846153846154,"3394, 3692",1.9
92,5,3394,3760,1028.076923076923,"3394, 3760",1.9
93,5,3396,3603,1185.5,"3396, 3603",3.2
94,5,3396,3692,1398.5,"3396, 3692",3.5
95,5,3396,3760,1647.5,"3396, 3760",3.5
96,5,3603,3394,597.7307692307693,"3603, 3394",1.5
97,5,3603,3396,1241.5,"3603, 3396",3.2
98,5,3603,3792,463.5,"3603, 3792",1.8
99,5,3692,3394,762.2307692307693,"3692, 3394",2.4
100,5,3692,3396,1281.75,"3692, 3396",4.2
