,WeekDay,Origin Movement ID,Destination Movement ID,Midday Mean Travel Time (Seconds),combined
0,0,3394,3603,715.5,"3394, 3603"
1,0,3394,3692,1036.16,"3394, 3692"
2,0,3394,3760,953.32,"3394, 3760"
3,0,3396,3603,1157.5,"3396, 3603"
4,0,3396,3692,1419.5,"3396, 3692"
5,0,3396,3760,1278.8461538461538,"3396, 3760"
6,0,3603,3394,670.04,"3603, 3394"
7,0,3603,3396,1149.6,"3603, 3396"
8,0,3603,3792,580.04,"3603, 3792"
9,0,3692,3394,777.5416666666666,"3692, 3394"
10,0,3692,3396,1206.2222222222222,"3692, 3396"
11,0,3692,3792,537.4,"3692, 3792"
12,0,3760,3394,830.1666666666666,"3760, 3394"
13,0,3760,3396,1283.6666666666667,"3760, 3396"
14,0,3760,3792,617.5555555555555,"3760, 3792"
15,0,3792,3603,489.96,"3792, 3603"
16,0,3792,3692,518.32,"3792, 3692"
17,0,3792,3760,783.1666666666666,"3792, 3760"
18,1,3394,3603,718.76,"3394, 3603"
19,1,3394,3692,1065.8461538461538,"3394, 3692"
20,1,3394,3760,953.7307692307693,"3394, 3760"
21,1,3396,3603,1213.0,"3396, 3603"
22,1,3396,3692,1463.9285714285713,"3396, 3692"
23,1,3396,3760,1359.6666666666667,"3396, 3760"
24,1,3603,3394,668.64,"3603, 3394"
25,1,3603,3396,1172.1875,"3603, 3396"
26,1,3603,3792,599.7307692307693,"3603, 3792"
27,1,3692,3394,785.0769230769231,"3692, 3394"
28,1,3692,3396,1288.2,"3692, 3396"
29,1,3692,3792,526.4615384615385,"3692, 3792"
30,1,3760,3394,835.4230769230769,"3760, 3394"
31,1,3760,3396,1232.5,"3760, 3396"
32,1,3760,3792,712.9230769230769,"3760, 3792"
33,1,3792,3603,520.9230769230769,"3792, 3603"
34,1,3792,3692,560.1538461538462,"3792, 3692"
35,1,3792,3760,781.9230769230769,"3792, 3760"
36,2,3394,3603,731.6538461538462,"3394, 3603"
37,2,3394,3692,1059.1538461538462,"3394, 3692"
38,2,3394,3760,998.4615384615385,"3394, 3760"
39,2,3396,3603,1252.6666666666667,"3396, 3603"
40,2,3396,3692,1524.6875,"3396, 3692"
41,2,3396,3760,1420.1666666666667,"3396, 3760"
42,2,3603,3394,690.9230769230769,"3603, 3394"
43,2,3603,3396,1233.5882352941176,"3603, 3396"
44,2,3603,3792,636.6153846153846,"3603, 3792"
45,2,3692,3394,782.8076923076923,"3692, 3394"
46,2,3692,3396,1261.4,"3692, 3396"
47,2,3692,3792,584.8846153846154,"3692, 3792"
48,2,3760,3394,820.0769230769231,"3760, 3394"
49,2,3760,3396,1367.3333333333333,"3760, 3396"
50,2,3760,3792,724.2941176470588,"3760, 3792"
51,2,3792,3603,539.7307692307693,"3792, 3603"
52,2,3792,3692,596.1538461538462,"3792, 3692"
53,2,3792,3760,900.3571428571429,"3792, 3760"
54,3,3394,3603,766.0769230769231,"3394, 3603"
55,3,3394,3692,1126.4615384615386,"3394, 3692"
56,3,3394,3760,995.1538461538462,"3394, 3760"
57,3,3396,3603,1302.375,"3396, 3603"
58,3,3396,3692,1558.388888888889,"3396, 3692"
59,3,3396,3760,1407.6666666666667,"3396, 3760"
60,3,3603,3394,660.7692307692307,"3603, 3394"
61,3,3603,3396,1221.7894736842106,"3603, 3396"
62,3,3603,3792,652.4230769230769,"3603, 3792"
63,3,3692,3394,814.7692307692307,"3692, 3394"
64,3,3692,3396,1324.0,"3692, 3396"
65,3,3692,3792,616.0384615384615,"3692, 3792"
66,3,3760,3394,842.8846153846154,"3760, 3394"
67,3,3760,3396,1109.3333333333333,"3760, 3396"
68,3,3760,3792,800.6,"3760, 3792"
69,3,3792,3603,577.1153846153846,"3792, 3603"
70,3,3792,3692,615.7307692307693,"3792, 3692"
71,3,3792,3760,810.3333333333334,"3792, 3760"
72,4,3394,3603,800.0769230769231,"3394, 3603"
73,4,3394,3692,1151.3461538461538,"3394, 3692"
74,4,3394,3760,1076.576923076923,"3394, 3760"
75,4,3396,3603,1362.6666666666667,"3396, 3603"
76,4,3396,3692,1526.0,"3396, 3692"
77,4,3396,3760,1506.6666666666667,"3396, 3760"
78,4,3603,3394,691.4230769230769,"3603, 3394"
79,4,3603,3396,1280.8260869565217,"3603, 3396"
80,4,3603,3792,662.9230769230769,"3603, 3792"
81,4,3692,3394,860.0384615384615,"3692, 3394"
82,4,3692,3396,1344.5,"3692, 3396"
83,4,3692,3792,596.9230769230769,"3692, 3792"
84,4,3760,3394,899.3461538461538,"3760, 3394"
85,4,3760,3396,1200.4285714285713,"3760, 3396"
86,4,3760,3792,806.8235294117648,"3760, 3792"
87,4,3792,3603,547.7692307692307,"3792, 3603"
88,4,3792,3692,598.0,"3792, 3692"
89,4,3792,3760,840.7692307692307,"3792, 3760"
90,5,3394,3603,820.6153846153846,"3394, 3603"
91,5,3394,3692,988.7307692307693,"3394, 3692"
92,5,3394,3760,1034.2307692307693,"3394, 3760"
