,WeekDay,Origin Movement ID,Destination Movement ID,Evening Mean Travel Time (Seconds),combined
80,4,3603,3792,500.7692307692308,"3603, 3792"
81,4,3692,3394,753.7692307692307,"3692, 3394"
82,4,3692,3396,1230.625,"3692, 3396"
83,4,3692,3792,427.15384615384613,"3692, 3792"
84,4,3760,3394,875.0769230769231,"3760, 3394"
85,4,3760,3396,,"3760, 3396"
86,4,3760,3792,718.6315789473684,"3760, 3792"
87,4,3792,3603,446.15384615384613,"3792, 3603"
88,4,3792,3692,515.9230769230769,"3792, 3692"
89,4,3792,3760,771.2142857142857,"3792, 3760"
90,5,3394,3603,720.8846153846154,"3394, 3603"
91,5,3394,3692,941.8846153846154,"3394, 3692"
92,5,3394,3760,1028.076923076923,"3394, 3760"
93,5,3396,3603,1185.5,"3396, 3603"
94,5,3396,3692,1398.5,"3396, 3692"
95,5,3396,3760,1647.5,"3396, 3760"
96,5,3603,3394,597.7307692307693,"3603, 3394"
97,5,3603,3396,1241.5,"3603, 3396"
98,5,3603,3792,463.5,"3603, 3792"
99,5,3692,3394,762.2307692307693,"3692, 3394"
100,5,3692,3396,1281.75,"3692, 3396"
101,5,3692,3792,378.2692307692308,"3692, 3792"
102,5,3760,3394,891.6153846153846,"3760, 3394"
103,5,3760,3396,,"3760, 3396"
104,5,3760,3792,701.0909090909091,"3760, 3792"
105,5,3792,3603,407.34615384615387,"3792, 3603"
106,5,3792,3692,475.88461538461536,"3792, 3692"
107,5,3792,3760,731.4,"3792, 3760"
108,6,3394,3603,645.4583333333334,"3394, 3603"
109,6,3394,3692,792.4615384615385,"3394, 3692"
110,6,3394,3760,914.0769230769231,"3394, 3760"
111,6,3396,3603,1149.5,"3396, 3603"
112,6,3396,3692,1213.5,"3396, 3692"
113,6,3396,3760,1398.0,"3396, 3760"
114,6,3603,3394,580.55,"3603, 3394"
115,6,3603,3396,,"3603, 3396"
116,6,3603,3792,470.7307692307692,"3603, 3792"
117,6,3692,3394,653.1923076923077,"3692, 3394"
118,6,3692,3396,,"3692, 3396"
119,6,3692,3792,404.0,"3692, 3792"
120,6,3760,3394,794.0,"3760, 3394"
121,6,3760,3396,,"3760, 3396"
122,6,3760,3792,590.5,"3760, 3792"
123,6,3792,3603,376.69565217391306,"3792, 3603"
124,6,3792,3692,408.5769230769231,"3792, 3692"
125,6,3792,3760,669.5,"3792, 3760"
