,WeekDay,Origin Movement ID,Destination Movement ID,Midday Mean Travel Time (Seconds),combined,Distance,r-squared
31,1,3760,3396,1232.5,"3760, 3396",4.1,0.005
32,1,3760,3792,712.9230769230769,"3760, 3792",1.1,0.819
33,1,3792,3603,520.9230769230769,"3792, 3603",1.7,0.058
34,1,3792,3692,560.1538461538462,"3792, 3692",1.0,0.006
35,1,3792,3760,781.9230769230769,"3792, 3760",1.6,0.124
36,2,3394,3603,731.6538461538462,"3394, 3603",1.5,0.315
37,2,3394,3692,1059.1538461538462,"3394, 3692",1.9,0.174
38,2,3394,3760,998.4615384615385,"3394, 3760",1.9,0.336
39,2,3396,3603,1252.6666666666667,"3396, 3603",3.2,0.967
40,2,3396,3692,1524.6875,"3396, 3692",3.5,0.091
41,2,3396,3760,1420.1666666666667,"3396, 3760",3.5,0.328
42,2,3603,3394,690.9230769230769,"3603, 3394",1.5,0.32
43,2,3603,3396,1233.5882352941176,"3603, 3396",3.2,0.176
44,2,3603,3792,636.6153846153846,"3603, 3792",1.8,0.054
45,2,3692,3394,782.8076923076923,"3692, 3394",2.4,0.149
46,2,3692,3396,1261.4,"3692, 3396",4.2,0.469
47,2,3692,3792,584.8846153846154,"3692, 3792",1.4,0.332
48,2,3760,3394,820.0769230769231,"3760, 3394",2.5,0.729
49,2,3760,3396,1367.3333333333333,"3760, 3396",4.1,0.005
50,2,3760,3792,724.2941176470588,"3760, 3792",1.1,0.819
51,2,3792,3603,539.7307692307693,"3792, 3603",1.7,0.058
52,2,3792,3692,596.1538461538462,"3792, 3692",1.0,0.006
53,2,3792,3760,900.3571428571429,"3792, 3760",1.6,0.124
54,3,3394,3603,766.0769230769231,"3394, 3603",1.5,0.315
55,3,3394,3692,1126.4615384615386,"3394, 3692",1.9,0.174
56,3,3394,3760,995.1538461538462,"3394, 3760",1.9,0.336
57,3,3396,3603,1302.375,"3396, 3603",3.2,0.967
58,3,3396,3692,1558.388888888889,"3396, 3692",3.5,0.091
59,3,3396,3760,1407.6666666666667,"3396, 3760",3.5,0.328
60,3,3603,3394,660.7692307692307,"3603, 3394",1.5,0.32
61,3,3603,3396,1221.7894736842106,"3603, 3396",3.2,0.176
62,3,3603,3792,652.4230769230769,"3603, 3792",1.8,0.054
63,3,3692,3394,814.7692307692307,"3692, 3394",2.4,0.149
64,3,3692,3396,1324.0,"3692, 3396",4.2,0.469
65,3,3692,3792,616.0384615384615,"3692, 3792",1.4,0.332
66,3,3760,3394,842.8846153846154,"3760, 3394",2.5,0.729
